#{"t_start": 1738834936.0844219, "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,4697,27.014621
-21.0,3056,31.120941
-21.0,3296,55.3235
-20.0,3594,84.11963
-20.0,3801,109.20035
-20.0,3967,134.446364
-20.0,3348,162.794448
-19.0,3959,188.079496
-21.0,3656,212.918328
-20.0,4665,242.783276
-21.0,3664,267.823983
-21.0,3375,272.456345
-21.0,3240,296.829748
-21.0,4024,326.255601
-20.0,3787,351.387348
-20.0,3833,376.582812
-21.0,3296,404.779191
-20.0,4079,430.383231
-20.0,3352,454.967565
-21.0,3536,479.914041
-18.0,4545,510.051395
-21.0,3056,514.184643
-18.0,5421,561.642477
-21.0,3131,570.52238
-20.0,4432,616.591398
-20.0,4049,622.18437
-19.0,4344,672.953547
-20.0,3700,678.098297
-21.0,3611,703.205419
-19.0,4068,733.505106
-19.0,4981,780.49738
-18.0,4874,807.304965
-20.0,5001,839.116298
-19.0,4214,865.03027
-19.0,4894,898.231902
-19.0,6758,947.679378
-20.0,4842,974.497435
-20.0,7138,1031.011595
-17.0,6213,1065.995073
-20.0,5912,1114.605374
-12.0,7915,1174.410746
-20.0,6165,1202.986513
-18.0,6463,1260.598177
-18.0,8393,1311.809293
-10.0,10000,1375.101806
-19.0,7825,1437.765323
-16.0,7309,1488.220052
-12.0,9306,1551.501493
20.0,8527,1613.323608
-7.0,11941,1702.052064
-8.0,12334,1792.946381
3.0,12781,1880.969822
-7.0,13076,1974.017865
3.0,18303,2108.509011
21.0,7907,2171.78872
-6.0,14508,2264.947717
21.0,7907,2334.803819
20.0,8142,2386.325992
20.0,8270,2450.316498
21.0,7907,2516.045269
10.0,18044,2661.076066
21.0,7907,2705.664455
21.0,7907,2756.817804
-1.0,14593,2869.529998
11.0,16873,2999.771706
12.0,17750,3116.017804
7.0,19059,3270.518456
14.0,17903,3391.32858
21.0,7907,3455.607909
16.0,12037,3541.146483
13.0,16219,3658.477828
14.0,15591,3769.889977
2.0,13658,3864.883271
20.0,8142,3926.819923
17.0,16079,4039.280888
10.0,17764,4200.368084
17.0,16391,4324.386842
20.0,16089,4424.555677
21.0,7907,4493.052763
21.0,7907,4563.091025
21.0,7907,4617.725349
12.0,16283,4739.858367
16.0,16512,4871.059069
21.0,7907,4924.681874
15.0,17250,5082.455664
14.0,14446,5223.386968
18.0,9801,5293.300522
20.0,7494,5345.53324
19.0,6616,5405.160741
21.0,7907,5470.028121
18.0,7518,5502.41523
20.0,8233,5568.844224
21.0,7907,5621.927092
19.0,7228,5682.493041
20.0,8430,5745.870053
21.0,7907,5799.469938
20.0,8030,5863.173177
20.0,8430,5929.261873
20.0,9032,5985.413494
21.0,7907,6050.567035
21.0,6372,6102.774183
18.0,9310,6169.474973
20.0,15326,6286.51225
18.0,13450,6380.864787
20.0,6268,6440.673504
16.0,9906,6505.829655
20.0,15443,6622.007804
19.0,12632,6713.426766
21.0,6610,6754.91621
21.0,7907,6808.606151
21.0,6372,6870.849642
21.0,7907,6924.657824
19.0,11082,7011.265162
21.0,7907,7073.511295
21.0,7907,7105.556416
17.0,9276,7192.834891
19.0,7050,7236.826395
20.0,8030,7290.492468
21.0,7907,7353.001938
21.0,7907,7414.903801
19.0,10946,7505.651864
21.0,6610,7557.22909
18.0,7758,7600.438885
19.0,11750,7693.816241
19.0,9984,7771.663483
20.0,8116,7833.043827
21.0,7907,7897.693883
20.0,6958,7928.751636
21.0,6610,7988.942284
21.0,7907,8043.635112
20.0,15010,8157.958815
20.0,8030,8213.169247
21.0,6610,8282.876707
21.0,7907,8337.901594
21.0,7907,8402.44065
20.0,6914,8471.329921
18.0,14514,8568.779136
21.0,14734,8686.762775
21.0,7907,8752.36684
21.0,6610,8784.576438
20.0,15563,8902.552172
19.0,14858,9050.035286
19.0,10126,9112.55665
19.0,15267,9249.137827
19.0,15713,9378.917044
21.0,10373,9455.467605
21.0,6610,9511.37665
21.0,6610,9559.139728
20.0,10556,9662.842474
20.0,8270,9722.694325
20.0,15670,9854.833018
18.0,8524,9928.182616
19.0,8642,10003.222531
20.0,11346,10099.072513
21.0,7907,10158.080391
21.0,7907,10229.668015
21.0,15110,10329.4913
21.0,6878,10395.224527
21.0,10373,10482.747502
21.0,6610,10513.982981
20.0,12348,10609.884891
21.0,6610,10671.659204
20.0,10690,10728.464492
18.0,14814,10856.670474
21.0,15110,10969.63206
19.0,10206,11036.708761
21.0,6610,11088.488974
21.0,6610,11131.482642
21.0,7907,11183.857339
