#{"t_start": 1738855629.827947, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3768,93.335022
-21.0,3304,178.559706
-20.0,3486,291.995274
-21.0,3280,381.830249
-19.0,3727,495.655734
-21.0,3176,584.64753
-21.0,3296,673.387316
-21.0,3300,763.579261
-21.0,3296,848.7801
-20.0,3348,960.812745
-21.0,3304,1046.056667
-20.0,3367,1134.399875
-20.0,3443,1219.897382
-21.0,3597,1331.980303
-20.0,3927,1448.436334
-19.0,3752,1533.328483
-20.0,3679,1646.168086
-21.0,3372,1734.424571
-20.0,3822,1866.861909
-20.0,4788,1995.184292
-20.0,3683,2122.612406
-16.0,5421,2292.012734
-21.0,5290,2456.321395
-20.0,3367,2589.701615
-12.0,7156,2815.854647
-21.0,3131,2913.17278
-18.0,6057,3113.438805
-19.0,5244,3276.133731
-21.0,3646,3381.987659
-19.0,6684,3608.800708
-19.0,6641,3808.018231
-8.0,10245,4122.115394
-21.0,3520,4254.620597
-8.0,10856,4580.086779
-15.0,7346,4797.339668
-12.0,8266,5056.86926
-6.0,10923,5411.085171
-19.0,5475,5570.748004
-19.0,7872,5834.686416
-18.0,7755,6090.315194
9.0,9610,6391.959037
-21.0,4358,6527.667037
12.0,9695,6844.867905
15.0,8164,7110.26931
-18.0,7286,7344.436556
20.0,6896,7539.698934
-8.0,12294,7940.82531
-15.0,8235,8210.75717
19.0,7130,8435.120399
11.0,9014,8733.074732
-17.0,5340,8893.12452
-18.0,5903,9100.386046
14.0,8552,9366.647746
-17.0,8249,9619.338725
-18.0,6220,9853.644987
-20.0,6603,10045.947422
4.0,9684,10342.951908
17.0,7653,10609.138801
6.0,10044,10933.86161
15.0,7772,11174.733086
10.0,10033,11509.493019
5.0,11616,11875.145608
18.0,7577,12135.013637
12.0,8688,12405.492005
11.0,9140,12717.501063
17.0,7797,12975.881012
-1.0,11091,13307.997647
3.0,10182,13632.936078
18.0,7566,13900.209738
19.0,6940,14095.542027
10.0,9676,14422.794976
-11.0,7893,14687.039842
19.0,7317,14912.108305
20.0,6760,15113.486736
5.0,12439,15509.10583
10.0,9829,15836.782418
-12.0,9230,16128.76053
17.0,7567,16360.150537
14.0,7858,16621.829181
18.0,7418,16842.852381
16.0,7582,17108.711329
-13.0,7726,17337.121917
6.0,10765,17698.440456
8.0,9783,18002.737932
17.0,7661,18271.014598
13.0,8792,18531.228331
-9.0,8584,18796.770808
-9.0,10460,19163.757392
-2.0,13610,19597.657748
19.0,7049,19826.219933
15.0,7922,20065.104654
21.0,6765,20303.851198
9.0,9498,20599.41397
13.0,8630,20905.007792
3.0,9964,21208.619885
3.0,11209,21574.41995
14.0,9621,21906.292419
14.0,9010,22166.683948
20.0,7167,22402.285361
20.0,7167,22634.280606
20.0,6651,22878.234367
20.0,6783,23074.872216
6.0,9105,23379.195406
20.0,6781,23622.933484
-5.0,10124,23961.930801
14.0,8349,24218.722886
