,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
0,0,-21.0,2025-02-04 23:35:30.125293,2025-02-05 00:47:15.094713,0 days 01:11:44.969420,relu,128,0.1,1.720418909559032e-06,0.99,0.98,0.16802155235592658,0.6,1,8,small,False,0.299890459893346,COMPLETE
1,1,-21.0,2025-02-04 23:35:30.126455,2025-02-05 05:28:22.669197,0 days 05:52:52.542742,relu,64,0.35,0.006385804490618837,0.95,0.85,0.16240528402912002,0.6,10,32,medium,True,0.9824442028871282,COMPLETE
2,2,-20.2,2025-02-04 23:35:30.127226,2025-02-05 06:45:39.314833,0 days 07:10:09.187607,leaky_relu,16,0.2,1.1075723499320258e-08,0.95,0.98,3.552347350681894e-05,1.0,10,16,identity,True,0.2275134235026484,COMPLETE
3,3,-21.0,2025-02-04 23:35:30.127933,2025-02-05 08:23:07.040406,0 days 08:47:36.912473,tanh,4,0.15,0.001036642555515722,0.8,0.98,0.0029920965235278665,1.0,5,32,large,False,0.4565278502834527,COMPLETE
4,4,-19.8,2025-02-04 23:35:30.128230,2025-02-05 11:47:44.757118,0 days 12:12:14.628888,relu,4,0.3,1.3790917273521505e-07,0.85,0.98,0.0004639451680195324,0.3,7,8,large,True,0.8440513203063611,COMPLETE
5,5,-21.0,2025-02-04 23:35:30.158023,2025-02-05 04:25:00.351630,0 days 04:49:30.193607,sigmoid,128,0.15,3.8067981516606364e-06,0.95,0.995,0.9753571425814872,0.3,7,8,identity,False,0.5276074687247441,COMPLETE
6,6,-21.0,2025-02-04 23:35:30.188133,2025-02-05 03:39:16.316891,0 days 04:03:46.128758,leaky_relu,128,0.3,0.0004094599753553623,0.98,0.95,0.017230919116799647,1.0,7,32,small,False,0.7878823911223958,COMPLETE
7,7,-21.0,2025-02-04 23:35:30.188942,2025-02-05 00:32:01.239383,0 days 00:56:31.050441,relu,32,0.1,0.0004710581884905539,0.95,0.995,0.8313582506577428,0.7,1,256,small,False,0.646170229135858,COMPLETE
8,8,-21.0,2025-02-04 23:35:30.278281,2025-02-05 06:26:59.327889,0 days 06:51:29.049608,tanh,16,0.15,0.0009206338457545193,0.99,0.98,1.553730813309111e-05,0.3,7,8,large,True,0.6114832311462225,COMPLETE
9,9,-21.0,2025-02-04 23:35:30.278684,2025-02-05 08:04:08.223302,0 days 08:28:37.944618,leaky_relu,4,0.1,4.857137013931872e-08,0.85,0.999,0.004905007902809472,0.6,7,32,small,False,0.5141207363798128,COMPLETE
10,10,-2.2,2025-02-05 00:32:01.241478,2025-02-05 02:37:49.598555,0 days 02:05:48.357077,tanh,32,0.3,0.000692808456996194,0.95,0.98,0.00018143432320362978,0.3,3,1024,medium_pi,False,0.5181353678038471,COMPLETE
11,11,-21.0,2025-02-05 00:47:15.095614,2025-02-05 01:32:21.718620,0 days 00:45:06.623006,tanh,512,0.15,0.006546148216972277,0.95,0.85,0.009018452872846236,0.8,1,512,small,True,0.3036154417798436,COMPLETE
12,12,-20.2,2025-02-05 01:32:21.719639,2025-02-05 06:58:05.440095,0 days 05:25:43.720456,relu,512,0.4,5.614937666018001e-05,0.98,0.99,5.6211805576810534e-05,0.8,15,1024,medium_pi,False,0.5531301949478554,COMPLETE
13,13,-20.2,2025-02-05 02:37:49.599551,2025-02-05 04:42:09.148682,0 days 02:04:19.549131,tanh,512,0.4,1.4629654244642256e-08,0.85,0.95,1.8283608798318633e-05,0.3,3,32,medium,False,0.538268117509395,COMPLETE
14,14,-18.8,2025-02-05 03:39:16.317833,2025-02-05 05:47:59.928406,0 days 02:08:43.610573,tanh,32,0.3,0.05,0.95,0.98,1e-05,0.3,3,1024,medium_pi,False,0.3289880994948369,COMPLETE
15,15,-20.6,2025-02-05 04:25:00.353179,2025-02-05 06:39:53.796608,0 days 02:14:53.443429,tanh,32,0.3,0.05,0.95,0.98,1e-05,0.3,3,1024,medium_pi,False,0.6023447126690175,COMPLETE
16,16,-20.0,2025-02-05 04:42:09.150406,2025-02-05 06:57:15.981590,0 days 02:15:06.831184,tanh,32,0.3,0.034780162167972875,0.95,0.98,1e-05,0.3,3,1024,medium_pi,False,0.508027619217153,COMPLETE
17,17,-20.8,2025-02-05 05:28:22.670880,2025-02-05 07:46:59.018503,0 days 02:18:36.347623,tanh,32,0.3,0.01984036702504446,0.95,0.98,1.0213621494505714e-05,0.3,3,1024,medium_pi,False,0.4714974885683456,COMPLETE
18,18,-20.0,2025-02-05 05:47:59.929625,2025-02-05 08:09:27.666189,0 days 02:21:27.736564,tanh,32,0.3,0.00017646298711691192,0.95,0.98,0.00040801056249702535,0.3,3,1024,medium_pi,False,0.5791736136037573,COMPLETE
19,19,-20.8,2025-02-05 06:26:59.329693,2025-02-05 09:38:39.694832,0 days 03:11:40.365139,tanh,32,0.3,0.00019468362969675643,0.95,0.98,0.0003929583777632,0.3,3,1024,medium_pi,False,0.5738372205556238,COMPLETE
20,20,-20.2,2025-02-05 06:39:53.798662,2025-02-05 09:53:23.221582,0 days 03:13:29.422920,tanh,32,0.3,0.00023032434654186276,0.95,0.98,0.0003564228190988232,0.3,3,1024,medium_pi,False,0.38253297390860086,COMPLETE
