,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
0,0,-20.8,2025-02-03 11:49:43.276592,2025-02-03 21:32:08.074108,0 days 09:42:24.797516,leaky_relu,16,0.1,0.016660267714839437,0.98,0.9999,0.0019043917003048216,0.3,10,1024,medium_pi,False,0.6839363021364991,COMPLETE
1,1,-20.6,2025-02-03 11:49:43.277079,2025-02-03 13:13:51.245532,0 days 01:24:07.968453,relu,32,0.1,5.280776363101875e-05,0.9,0.8,0.009763684728769935,0.3,1,8,large,True,0.901468928437611,COMPLETE
2,2,-21.0,2025-02-03 11:49:43.278040,2025-02-03 18:57:18.863428,0 days 07:07:35.585388,elu,16,0.25,0.00037766460374214785,1.0,0.99,0.001694368983750036,0.5,7,128,small,True,0.4297164588569723,COMPLETE
3,3,-20.4,2025-02-03 11:49:43.278878,2025-02-03 13:12:53.049091,0 days 01:23:09.770213,relu,64,0.15,1.8251206052567195e-05,0.9,0.95,0.00023667588401998647,0.9,1,16,medium_pi,False,0.2500781990368689,COMPLETE
4,4,-20.2,2025-02-03 11:49:43.279543,2025-02-03 12:48:39.251844,0 days 00:58:55.972301,leaky_relu,128,0.25,1.6004440830013614e-05,0.85,0.95,2.9450021015675925e-05,0.3,1,64,medium_pi,False,0.4497022539246569,COMPLETE
5,5,-21.0,2025-02-03 11:49:43.279945,2025-02-03 14:55:30.313624,0 days 03:05:47.033679,tanh,256,0.35,0.022639136828222783,0.8,0.9999,0.7310416888717036,0.3,3,8,large,True,0.27732294829764614,COMPLETE
6,6,-21.0,2025-02-03 11:49:43.341011,2025-02-03 12:53:14.740928,0 days 01:03:31.399917,leaky_relu,128,0.3,0.0006331361817949248,1.0,0.8,0.38268433630104043,0.7,1,32,identity,True,0.7595483325254888,COMPLETE
7,7,-21.0,2025-02-03 11:49:43.341767,2025-02-03 13:33:50.344784,0 days 01:44:07.003017,leaky_relu,512,0.2,1.9109026576564154e-06,0.85,0.995,4.531004664680708e-05,0.5,3,512,identity,False,0.19874746445977637,COMPLETE
8,8,-21.0,2025-02-03 11:49:43.373006,2025-02-03 17:55:34.746521,0 days 06:05:51.373515,tanh,8,0.3,3.4405457409962244e-07,0.92,0.995,0.012333463879241644,0.6,10,32,medium_pi,True,0.1371193358054499,COMPLETE
9,9,-21.0,2025-02-03 11:49:43.373738,2025-02-03 17:52:26.439723,0 days 06:02:43.065985,leaky_relu,128,0.1,7.709230558743939e-08,0.98,0.98,0.05093385963896383,0.3,10,128,medium,True,0.609038563790434,COMPLETE
